Removed Pin From Net: NetName=GND Pin=C102-1
Removed Pin From Net: NetName=GND Pin=C200-1
Change Component DesignItemId : Designator=C103 Old DesignItemId=CMP-1662-00015-2 New DesignItemId=885012207053
Change Component DesignItemId : Designator=C104 Old DesignItemId=CMP-1662-00015-2 New DesignItemId=885012207053
Change Component DesignItemId : Designator=C102 Old DesignItemId=CMP-207839-000010-1 New DesignItemId=885012207078
Change Component Footprint: Designator=C103 Old Footprint=CAPC2013X135X45LL10T25 New Footprint=WCAP-CSGP_0805_L2W1.25H1.25
Change Component Footprint: Designator=C104 Old Footprint=CAPC2013X135X45LL10T25 New Footprint=WCAP-CSGP_0805_L2W1.25H1.25
Change Component Footprint: Designator=C102 Old Footprint=FP-885012207078-MFG New Footprint=WCAP-CSGP_0805_L2W1.25H1.25
Change Component Comment : Designator=C102 Old Comment=1uF New Comment=1µF
Change Component Comment : Designator=C103 Old Comment=4.7uF New Comment=4.7µF
Change Component Comment : Designator=C104 Old Comment=4.7uF New Comment=4.7µF
Change Component Description : Designator=C102 Old Description=CAP CER 1UF 25V X7R 0805 New Description=WCAP-CSGP Multilayer Ceramic Chip Capacitor, General Purpose, size 0805, X7R, 1µF, 25VDC
Change Component Description : Designator=C103 Old Description=Chip Capacitor, 4.7 uF, +/- 10%, 16 V, -55 to 85 degC, 0805 (2012 Metric), RoHS, Tape and Reel New Description=WCAP-CSGP Multilayer Ceramic Chip Capacitor, General Purpose, size 0805, X7R, 4.7µF, 16VDC
Change Component Description : Designator=C104 Old Description=Chip Capacitor, 4.7 uF, +/- 10%, 16 V, -55 to 85 degC, 0805 (2012 Metric), RoHS, Tape and Reel New Description=WCAP-CSGP Multilayer Ceramic Chip Capacitor, General Purpose, size 0805, X7R, 4.7µF, 16VDC
Change Component Library : Designator=C102 Old Library=Altium Content Vault New Library=Altium_WCAP-CSGP (rev22f).IntLib
Change Component Library : Designator=C103 Old Library=Altium Content Vault New Library=Altium_WCAP-CSGP (rev22f).IntLib
Change Component Library : Designator=C104 Old Library=Altium Content Vault New Library=Altium_WCAP-CSGP (rev22f).IntLib
Change Managed Component Library Link : Designator=C102 Old VaultGUID= New VaultGUID= Old ItemGUID=80B91058-DB64-408B-9992-D54105171503 New ItemGUID= Old RevisionGUID=86684E83-72B5-44AE-A5D7-BDEB09C39C4A New RevisionGUID=
Change Managed Component Library Link : Designator=C103 Old VaultGUID= New VaultGUID= Old ItemGUID=787EFBC6-1EFF-46D9-B2CE-895F634BE4D2 New ItemGUID= Old RevisionGUID=2FC3147A-E96B-42BC-B28A-4F470471664F New RevisionGUID=
Change Managed Component Library Link : Designator=C104 Old VaultGUID= New VaultGUID= Old ItemGUID=787EFBC6-1EFF-46D9-B2CE-895F634BE4D2 New ItemGUID= Old RevisionGUID=2FC3147A-E96B-42BC-B28A-4F470471664F New RevisionGUID=
Change component parameters: Designator = "C102" ("C102"); Footprint = "FP-885012207078-MFG"; UniqueID = "\GMRICTUX\HBZYYTWX" ("\GMRICTUX\HBZYYTWX")
Change component parameters (AddParameter): Name = "Technical Reference"; Value = "X7R0805105K025DFCT10000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.053inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "C103" ("C103"); Footprint = "CAPC2013X135X45LL10T25"; UniqueID = "\GMRICTUX\TKSVWWQO" ("\GMRICTUX\TKSVWWQO")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "4.7µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance Tolerance"; Value = "+/-10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Size Code"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Multilayer Ceramic Chip Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ceramic Type"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Website Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.we-online.com/redexpert/article/885012207053?ad"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.we-online.com/redexpert/spec/885012207053?ad"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "03/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dissipation Factor"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Resistance"; Value = "0.02GO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Wurth Elektronik"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "885012207053"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Match Code"; Value = "WCAP-CSGP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Max"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Min"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "GRM21BR61C475KA88L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage (DC)"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technical Reference"; Value = "X7R0805475K016DFCT10000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "C104" ("C104"); Footprint = "CAPC2013X135X45LL10T25"; UniqueID = "\GMRICTUX\HALPDCWL" ("\GMRICTUX\HALPDCWL")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "4.7µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance Tolerance"; Value = "+/-10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Size Code"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Multilayer Ceramic Chip Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ceramic Type"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Website Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.we-online.com/redexpert/article/885012207053?ad"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.we-online.com/redexpert/spec/885012207053?ad"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "03/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dissipation Factor"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Resistance"; Value = "0.02GO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Wurth Elektronik"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "885012207053"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Match Code"; Value = "WCAP-CSGP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Max"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Min"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "GRM21BR61C475KA88L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage (DC)"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technical Reference"; Value = "X7R0805475K016DFCT10000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.25mm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C102-2
Added Pin To Net: NetName=GND Pin=C200-2
Added Pin To Net: NetName=NetC102_1 Pin=C102-1
Added Pin To Net: NetName=NetC102_1 Pin=U100-6
Added Pin To Net: NetName=NetC102_1 Pin=U200-2
Added Net: Name=NetC102_1
Added Pin To Net: NetName=NetC200_1 Pin=C200-1
Added Pin To Net: NetName=NetC200_1 Pin=U200-20
Added Net: Name=NetC200_1
